"","x","error_rate_mean","average_quality_mean","percent_mapped_mean","percent_peptides_detected_mean","percent_peptides_between_10_and_100_mean","error_rate_median","average_quality_median","percent_mapped_median","percent_peptides_detected_median","percent_peptides_between_10_and_100_median","error_rate_sd","average_quality_sd","percent_mapped_sd","percent_peptides_detected_sd","percent_peptides_between_10_and_100_sd"
"23","trim50.15_n3_rd50_pep168_",0.002105133125,35.3875,76.0936787783754,54.5573535947356,22.4862970442159,0.0019304935,35.4,82.832533303426,69.7201712187249,25.8726619209868,0.000571840839428354,0.0834522960396269,19.0413813848498,34.4413205870445,18.3754198156812
"24","trim50.15_n3_rd50_pep50_",0.002105133125,35.3875,76.0936787783754,54.5573535947356,22.4862970442159,0.0019304935,35.4,82.832533303426,69.7201712187249,25.8726619209868,0.000571840839428354,0.0834522960396269,19.0413813848498,34.4413205870445,18.3754198156812
"25","trim50.17_n2_rd0_pep168_",0.002111991,35.3875,76.8952513308192,54.8024669218834,22.6653321066297,0.001936607,35.4,83.8763713522508,70.1579640877301,26.1003298065603,0.000525838803991978,0.0834522960396269,19.2918323870174,34.5644014511447,18.5258947103844
"26","trim50.17_n2_rd0_pep50_",0.002111991,35.3875,76.8952513308192,54.8024669218834,22.6653321066297,0.001936607,35.4,83.8763713522508,70.1579640877301,26.1003298065603,0.000525838803991978,0.0834522960396269,19.2918323870174,34.5644014511447,18.5258947103844
"27","trim50.17_n2_rd50_pep168_",0.002111991,35.3875,76.8952513308192,54.8024669218834,22.6653321066297,0.001936607,35.4,83.8763713522508,70.1579640877301,26.1003298065603,0.000525838803991978,0.0834522960396269,19.2918323870174,34.5644014511447,18.5258947103844
"28","trim50.17_n2_rd50_pep50_",0.002111991,35.3875,76.8952513308192,54.8024669218834,22.6653321066297,0.001936607,35.4,83.8763713522508,70.1579640877301,26.1003298065603,0.000525838803991978,0.0834522960396269,19.2918323870174,34.5644014511447,18.5258947103844
"29","trim50.17_n3_rd0_pep168_",0.002166301625,35.3875,76.93125854951,54.8154291773548,22.6715695829467,0.001972771,35.4,83.9098545471279,70.168879671285,26.1104657055755,0.000583467111168582,0.0834522960396269,19.2795236371533,34.5589917124497,18.5292767663024
"30","trim50.17_n3_rd0_pep50_",0.002166301625,35.3875,76.93125854951,54.8154291773548,22.6715695829467,0.001972771,35.4,83.9098545471279,70.168879671285,26.1104657055755,0.000583467111168582,0.0834522960396269,19.2795236371533,34.5589917124497,18.5292767663024
"31","trim50.17_n3_rd50_pep168_",0.002166301625,35.3875,76.93125854951,54.8154291773548,22.6715695829467,0.001972771,35.4,83.9098545471279,70.168879671285,26.1104657055755,0.000583467111168582,0.0834522960396269,19.2795236371533,34.5589917124497,18.5292767663024
"32","trim50.17_n3_rd50_pep50_",0.002166301625,35.3875,76.93125854951,54.8154291773548,22.6715695829467,0.001972771,35.4,83.9098545471279,70.168879671285,26.1104657055755,0.000583467111168582,0.0834522960396269,19.2795236371533,34.5589917124497,18.5292767663024
